id;name;party;sector;country
lk;Lars Klingbeil;SPD;Politik;Deutschland
sw;Sahra Wagenknecht;BSW;Politik;Deutschland
uvdl;Ursula von der Leyen;CDU;Politik;Deutschland
nr;Norbert Röttgen;CDU;Politik;Deutschland
cs;Constanze Stelzenmüller;NA;Juristik;Deutschland
500;Folge 500;NA;NA;NA
cl;Christian Lindner;FDP;Politik;Deutschland
ks;Karl Schlögel;NA;Historik;Deutschland
lm;Ljudmyla Melnyk;NA;Wissenschaft;Ukraine
kd;Kristina Dunz;NA;Journalismus;Deutschland
el;Egils Levits;NA;Politik;Lettland
501;Folge 501;NA;NA;NA
ab;Annalena Baerbock;Die Grünen;Politik;Deutschland
ft;Frans Timmermann;NA;Politik;Deutschland
am;Andrij Melnyk;NA;Politik;Ukraine
al;Alexander Graf Lambsdorff;FDP;Politik;Deutschland
er;Egon Ramms;NA;Bundeswehr;Deutschland
502;Folge 502;NA;NA;NA
rh;Robert Habeck;Die Grünen;Politik;Deutschland
cm;Claudia Major;NA;Politikwissenschaft;Deutschland
kp;Katja Petrowskaja;NA;Journalismus;Deutschland
rk;Roderich Kiesewetter;CDU;Politik;Deutschland
503;Folge 503;NA;NA;NA
